question_id,subject,topic,difficulty_level,question_text,option_a,option_b,option_c,option_d,correct_option,expected_time_sec
Q00048,Aptitude,Mixed,5,"If the radius of a circle is increased by 10%, the percentage increase in its area is approximately:",15,10,21,25,C,90
Q00049,Aptitude,Mixed,1,What is 25% of 120?,30,50,40,20,A,20
Q00050,Aptitude,Mixed,1,What is 25% of 280?,80,70,90,60,B,20
Q00051,Aptitude,Mixed,5,"If the radius of a circle is increased by 10%, the percentage increase in its area is approximately:",21,25,15,10,A,90
Q00052,Aptitude,Mixed,4,A can do a work in 12 days and B in 18 days. How many days will they take together?,9,6,8,7,D,60
Q00053,Aptitude,Mixed,2,"If the ratio of boys to girls is 3:2 and total students are 30, how many are boys?",22,20,18,16,C,30
Q00054,Aptitude,Mixed,3,The average of 6 numbers is 18. What is their sum?,113,108,118,103,B,45
Q00055,Aptitude,Mixed,4,A can do a work in 12 days and B in 15 days. How many days will they take together?,9,8,7,6,C,60
Q00056,Aptitude,Mixed,1,What is 25% of 280?,80,70,60,90,B,20
Q00057,Aptitude,Mixed,3,The average of 5 numbers is 20. What is their sum?,110,105,100,95,C,45
Q00058,Aptitude,Mixed,2,"If the ratio of boys to girls is 3:2 and total students are 35, how many are boys?",19,23,25,21,D,30
Q00059,Aptitude,Mixed,1,What is 25% of 160?,30,60,50,40,D,20
Q00060,Aptitude,Mixed,2,"If the ratio of boys to girls is 3:2 and total students are 35, how many are boys?",25,21,19,23,B,30
Q00061,Aptitude,Mixed,3,The average of 5 numbers is 18. What is their sum?,95,90,85,100,B,45
Q00062,Aptitude,Mixed,4,A can do a work in 12 days and B in 18 days. How many days will they take together?,6,9,8,7,D,60
Q00063,Aptitude,Mixed,5,"If the radius of a circle is increased by 10%, the percentage increase in its area is approximately:",15,21,10,25,B,90
Q00064,Aptitude,Mixed,4,A can do a work in 12 days and B in 15 days. How many days will they take together?,9,7,8,6,B,60
Q00065,Aptitude,Mixed,4,A can do a work in 12 days and B in 15 days. How many days will they take together?,7,9,6,8,A,60
Q00066,Aptitude,Mixed,4,A can do a work in 12 days and B in 15 days. How many days will they take together?,9,7,6,8,B,60
Q00067,Aptitude,Mixed,1,What is 25% of 160?,40,50,30,60,A,20
Q00068,Aptitude,Mixed,1,What is 25% of 160?,30,40,60,50,B,20
Q00069,Aptitude,Mixed,2,"If the ratio of boys to girls is 3:2 and total students are 30, how many are boys?",22,18,20,16,B,30
Q00070,Aptitude,Mixed,4,A can do a work in 12 days and B in 15 days. How many days will they take together?,6,7,8,9,B,60
Q00071,Aptitude,Mixed,5,"If the radius of a circle is increased by 10%, the percentage increase in its area is approximately:",10,15,21,25,C,90
Q00072,Aptitude,Mixed,1,What is 25% of 120?,20,50,40,30,D,20
Q00073,Aptitude,Mixed,4,A can do a work in 10 days and B in 15 days. How many days will they take together?,5,7,6,8,C,60
Q00074,Aptitude,Mixed,3,The average of 4 numbers is 22. What is their sum?,98,83,88,93,C,45
Q00075,Aptitude,Mixed,2,"If the ratio of boys to girls is 3:2 and total students are 25, how many are boys?",15,19,13,17,A,30
Q00076,Aptitude,Mixed,5,"If the radius of a circle is increased by 10%, the percentage increase in its area is approximately:",10,25,15,21,D,90
Q00077,Aptitude,Mixed,1,What is 25% of 200?,40,60,70,50,D,20
Q00078,Aptitude,Mixed,1,What is 25% of 120?,50,40,30,20,C,20
Q00079,Aptitude,Mixed,2,"If the ratio of boys to girls is 3:2 and total students are 30, how many are boys?",20,16,22,18,D,30
Q00080,Aptitude,Mixed,2,"If the ratio of boys to girls is 3:2 and total students are 35, how many are boys?",21,19,23,25,A,30
Q00081,Aptitude,Mixed,4,A can do a work in 12 days and B in 18 days. How many days will they take together?,8,7,6,9,B,60
Q00082,Aptitude,Mixed,5,"If the radius of a circle is increased by 10%, the percentage increase in its area is approximately:",15,10,25,21,D,90
Q00083,Aptitude,Mixed,4,A can do a work in 12 days and B in 15 days. How many days will they take together?,6,9,7,8,C,60
Q00084,Aptitude,Mixed,5,"If the radius of a circle is increased by 10%, the percentage increase in its area is approximately:",10,25,21,15,C,90
Q00085,Aptitude,Mixed,2,"If the ratio of boys to girls is 3:2 and total students are 25, how many are boys?",13,17,15,19,C,30
Q00086,Aptitude,Mixed,2,"If the ratio of boys to girls is 3:2 and total students are 30, how many are boys?",20,16,18,22,C,30
Q00087,Aptitude,Mixed,5,"If the radius of a circle is increased by 10%, the percentage increase in its area is approximately:",21,15,25,10,A,90
Q00088,Aptitude,Mixed,4,A can do a work in 10 days and B in 15 days. How many days will they take together?,6,7,5,8,A,60
Q00089,Aptitude,Mixed,5,"If the radius of a circle is increased by 10%, the percentage increase in its area is approximately:",15,21,10,25,B,90
Q00090,Aptitude,Mixed,4,A can do a work in 10 days and B in 15 days. How many days will they take together?,6,5,8,7,A,60
Q00091,Aptitude,Mixed,3,The average of 5 numbers is 18. What is their sum?,100,95,85,90,D,45
Q00092,Aptitude,Mixed,3,The average of 6 numbers is 22. What is their sum?,142,132,127,137,B,45
Q00093,Aptitude,Mixed,3,The average of 6 numbers is 20. What is their sum?,125,130,115,120,D,45
Q00094,Aptitude,Mixed,4,A can do a work in 10 days and B in 18 days. How many days will they take together?,5,6,8,7,B,60
Q00095,Aptitude,Mixed,4,A can do a work in 12 days and B in 18 days. How many days will they take together?,8,9,6,7,D,60
Q00096,Aptitude,Mixed,5,"If the radius of a circle is increased by 10%, the percentage increase in its area is approximately:",10,15,25,21,D,90
Q00097,Aptitude,Mixed,4,A can do a work in 12 days and B in 15 days. How many days will they take together?,7,9,6,8,A,60
Q00098,Aptitude,Mixed,5,"If the radius of a circle is increased by 10%, the percentage increase in its area is approximately:",10,25,15,21,D,90
Q00099,Aptitude,Mixed,5,"If the radius of a circle is increased by 10%, the percentage increase in its area is approximately:",25,15,10,21,D,90
Q00100,Aptitude,Mixed,3,The average of 4 numbers is 20. What is their sum?,80,90,85,75,A,45
Q00101,Aptitude,Mixed,5,"If the radius of a circle is increased by 10%, the percentage increase in its area is approximately:",21,10,15,25,A,90
Q00102,Aptitude,Mixed,1,What is 25% of 240?,70,50,80,60,D,20
Q00103,Aptitude,Mixed,2,"If the ratio of boys to girls is 3:2 and total students are 35, how many are boys?",21,25,23,19,A,30
Q00104,Aptitude,Mixed,5,"If the radius of a circle is increased by 10%, the percentage increase in its area is approximately:",10,15,25,21,D,90
Q00105,Aptitude,Mixed,2,"If the ratio of boys to girls is 3:2 and total students are 30, how many are boys?",22,20,16,18,D,30
Q00106,Aptitude,Mixed,1,What is 25% of 240?,70,50,60,80,C,20
Q00107,Aptitude,Mixed,4,A can do a work in 12 days and B in 18 days. How many days will they take together?,6,8,7,9,C,60
Q00108,Aptitude,Mixed,1,What is 25% of 240?,70,80,50,60,D,20
Q00109,Aptitude,Mixed,1,What is 25% of 240?,60,50,80,70,A,20
Q00110,Aptitude,Mixed,2,"If the ratio of boys to girls is 3:2 and total students are 30, how many are boys?",16,20,18,22,C,30
Q00111,Aptitude,Mixed,1,What is 25% of 160?,40,60,30,50,A,20
Q00112,Aptitude,Mixed,4,A can do a work in 10 days and B in 15 days. How many days will they take together?,7,6,5,8,B,60
Q00113,Aptitude,Mixed,2,"If the ratio of boys to girls is 3:2 and total students are 20, how many are boys?",16,10,14,12,D,30
Q00114,Aptitude,Mixed,5,"If the radius of a circle is increased by 10%, the percentage increase in its area is approximately:",10,15,25,21,D,90
Q00115,Aptitude,Mixed,1,What is 25% of 240?,70,50,80,60,D,20
Q00116,Aptitude,Mixed,2,"If the ratio of boys to girls is 3:2 and total students are 35, how many are boys?",19,23,21,25,C,30
Q00117,Aptitude,Mixed,3,The average of 6 numbers is 20. What is their sum?,115,120,125,130,B,45
Q00118,Aptitude,Mixed,1,What is 25% of 200?,40,60,70,50,D,20
Q00119,Aptitude,Mixed,5,"If the radius of a circle is increased by 10%, the percentage increase in its area is approximately:",15,21,25,10,B,90
Q00120,Aptitude,Mixed,3,The average of 5 numbers is 18. What is their sum?,90,95,100,85,A,45
Q00121,Aptitude,Mixed,2,"If the ratio of boys to girls is 3:2 and total students are 20, how many are boys?",16,14,10,12,D,30
Q00122,Aptitude,Mixed,1,What is 25% of 120?,50,40,20,30,D,20
Q00123,Aptitude,Mixed,5,"If the radius of a circle is increased by 10%, the percentage increase in its area is approximately:",21,10,15,25,A,90
Q00124,Aptitude,Mixed,1,What is 25% of 240?,70,80,50,60,D,20
Q00125,Aptitude,Mixed,5,"If the radius of a circle is increased by 10%, the percentage increase in its area is approximately:",10,25,21,15,C,90
Q00126,Aptitude,Mixed,1,What is 25% of 120?,30,40,50,20,A,20
Q00127,Aptitude,Mixed,1,What is 25% of 160?,60,30,50,40,D,20
Q00128,Aptitude,Mixed,1,What is 25% of 280?,60,90,80,70,D,20
Q00129,Aptitude,Mixed,2,"If the ratio of boys to girls is 3:2 and total students are 20, how many are boys?",14,16,10,12,D,30
Q00130,Aptitude,Mixed,1,What is 25% of 280?,80,60,70,90,C,20
Q00131,Aptitude,Mixed,1,What is 25% of 160?,50,40,60,30,B,20
Q00132,Aptitude,Mixed,5,"If the radius of a circle is increased by 10%, the percentage increase in its area is approximately:",10,21,15,25,B,90
Q00133,Aptitude,Mixed,2,"If the ratio of boys to girls is 3:2 and total students are 20, how many are boys?",10,16,14,12,D,30
Q00134,Aptitude,Mixed,5,"If the radius of a circle is increased by 10%, the percentage increase in its area is approximately:",10,21,15,25,B,90
Q00135,Aptitude,Mixed,2,"If the ratio of boys to girls is 3:2 and total students are 30, how many are boys?",18,16,20,22,A,30
Q00136,Aptitude,Mixed,5,"If the radius of a circle is increased by 10%, the percentage increase in its area is approximately:",10,25,21,15,C,90
Q00137,Aptitude,Mixed,3,The average of 5 numbers is 20. What is their sum?,105,100,95,110,B,45
Q00138,Aptitude,Mixed,5,"If the radius of a circle is increased by 10%, the percentage increase in its area is approximately:",10,21,25,15,B,90
Q00139,Aptitude,Mixed,1,What is 25% of 120?,40,20,50,30,D,20
Q00140,Aptitude,Mixed,2,"If the ratio of boys to girls is 3:2 and total students are 25, how many are boys?",19,15,13,17,B,30
Q00141,Aptitude,Mixed,3,The average of 5 numbers is 22. What is their sum?,110,120,115,105,A,45
Q00142,Aptitude,Mixed,2,"If the ratio of boys to girls is 3:2 and total students are 25, how many are boys?",15,17,13,19,A,30
Q00143,Aptitude,Mixed,4,A can do a work in 10 days and B in 15 days. How many days will they take together?,5,7,8,6,D,60
Q00144,Aptitude,Mixed,3,The average of 5 numbers is 22. What is their sum?,105,115,120,110,D,45
Q00145,Aptitude,Mixed,1,What is 25% of 240?,70,50,60,80,C,20
Q00146,Aptitude,Mixed,5,"If the radius of a circle is increased by 10%, the percentage increase in its area is approximately:",10,15,25,21,D,90
Q00147,Aptitude,Mixed,4,A can do a work in 10 days and B in 15 days. How many days will they take together?,7,8,5,6,D,60
Q00148,Aptitude,Mixed,1,What is 25% of 240?,50,80,70,60,D,20
Q00149,Aptitude,Mixed,3,The average of 5 numbers is 20. What is their sum?,100,110,95,105,A,45
Q00150,Aptitude,Mixed,2,"If the ratio of boys to girls is 3:2 and total students are 20, how many are boys?",12,14,10,16,A,30
Q00151,Aptitude,Mixed,3,The average of 5 numbers is 22. What is their sum?,120,115,105,110,D,45
Q00152,Aptitude,Mixed,4,A can do a work in 10 days and B in 15 days. How many days will they take together?,7,6,5,8,B,60
Q00153,Aptitude,Mixed,4,A can do a work in 10 days and B in 18 days. How many days will they take together?,5,6,7,8,B,60
Q00154,Aptitude,Mixed,5,"If the radius of a circle is increased by 10%, the percentage increase in its area is approximately:",21,25,10,15,A,90
Q00155,Aptitude,Mixed,4,A can do a work in 12 days and B in 15 days. How many days will they take together?,6,7,8,9,B,60
Q00156,Aptitude,Mixed,5,"If the radius of a circle is increased by 10%, the percentage increase in its area is approximately:",25,21,10,15,B,90
Q00157,Aptitude,Mixed,1,What is 25% of 160?,50,60,40,30,C,20
Q00158,Aptitude,Mixed,3,The average of 6 numbers is 20. What is their sum?,120,115,130,125,A,45
Q00159,Aptitude,Mixed,4,A can do a work in 12 days and B in 18 days. How many days will they take together?,6,8,7,9,C,60
Q00160,Aptitude,Mixed,1,What is 25% of 280?,60,70,90,80,B,20
Q00161,Aptitude,Mixed,1,What is 25% of 240?,80,60,70,50,B,20
Q00162,Aptitude,Mixed,3,The average of 4 numbers is 18. What is their sum?,77,72,67,82,B,45
Q00163,Aptitude,Mixed,5,"If the radius of a circle is increased by 10%, the percentage increase in its area is approximately:",15,25,10,21,D,90
Q00164,Aptitude,Mixed,3,The average of 4 numbers is 20. What is their sum?,80,75,85,90,A,45
Q00165,Aptitude,Mixed,5,"If the radius of a circle is increased by 10%, the percentage increase in its area is approximately:",21,10,25,15,A,90
Q00166,Aptitude,Mixed,4,A can do a work in 10 days and B in 15 days. How many days will they take together?,7,5,6,8,C,60
Q00167,Aptitude,Mixed,3,The average of 4 numbers is 18. What is their sum?,72,77,82,67,A,45
Q00168,Aptitude,Mixed,1,What is 25% of 160?,30,50,60,40,D,20
Q00169,Aptitude,Mixed,2,"If the ratio of boys to girls is 3:2 and total students are 30, how many are boys?",22,18,20,16,B,30
Q00170,Aptitude,Mixed,2,"If the ratio of boys to girls is 3:2 and total students are 20, how many are boys?",10,16,14,12,D,30
Q00171,Aptitude,Mixed,4,A can do a work in 12 days and B in 15 days. How many days will they take together?,6,9,7,8,C,60
Q00172,Aptitude,Mixed,4,A can do a work in 12 days and B in 15 days. How many days will they take together?,6,7,8,9,B,60
Q00173,Aptitude,Mixed,4,A can do a work in 12 days and B in 15 days. How many days will they take together?,9,8,6,7,D,60
Q00174,Aptitude,Mixed,2,"If the ratio of boys to girls is 3:2 and total students are 35, how many are boys?",21,23,19,25,A,30
Q00175,Aptitude,Mixed,1,What is 25% of 160?,50,40,60,30,B,20
Q00176,Aptitude,Mixed,4,A can do a work in 12 days and B in 15 days. How many days will they take together?,9,7,8,6,B,60
Q00177,Aptitude,Mixed,1,What is 25% of 200?,50,40,60,70,A,20
Q00178,Aptitude,Mixed,5,"If the radius of a circle is increased by 10%, the percentage increase in its area is approximately:",15,10,21,25,C,90
Q00179,Aptitude,Mixed,1,What is 25% of 120?,20,40,50,30,D,20
Q00180,Aptitude,Mixed,3,The average of 5 numbers is 18. What is their sum?,85,90,100,95,B,45
Q00181,Aptitude,Mixed,4,A can do a work in 10 days and B in 18 days. How many days will they take together?,6,5,7,8,A,60
Q00182,Aptitude,Mixed,1,What is 25% of 160?,30,40,60,50,B,20
Q00183,Aptitude,Mixed,4,A can do a work in 10 days and B in 15 days. How many days will they take together?,6,5,8,7,A,60
Q00184,Aptitude,Mixed,5,"If the radius of a circle is increased by 10%, the percentage increase in its area is approximately:",15,25,21,10,C,90
Q00185,Aptitude,Mixed,1,What is 25% of 280?,60,70,90,80,B,20
Q00186,Aptitude,Mixed,2,"If the ratio of boys to girls is 3:2 and total students are 30, how many are boys?",16,20,22,18,D,30
Q00187,Aptitude,Mixed,5,"If the radius of a circle is increased by 10%, the percentage increase in its area is approximately:",15,21,10,25,B,90
Q00188,Aptitude,Mixed,1,What is 25% of 120?,50,30,40,20,B,20
Q00189,Aptitude,Mixed,3,The average of 6 numbers is 20. What is their sum?,130,125,120,115,C,45
Q00190,Aptitude,Mixed,2,"If the ratio of boys to girls is 3:2 and total students are 25, how many are boys?",17,13,19,15,D,30
Q00191,Aptitude,Mixed,1,What is 25% of 200?,40,50,70,60,B,20
Q00192,Aptitude,Mixed,3,The average of 6 numbers is 18. What is their sum?,108,113,103,118,A,45
Q00193,Aptitude,Mixed,2,"If the ratio of boys to girls is 3:2 and total students are 20, how many are boys?",10,16,12,14,C,30
Q00194,Aptitude,Mixed,2,"If the ratio of boys to girls is 3:2 and total students are 25, how many are boys?",15,17,13,19,A,30
Q00195,Aptitude,Mixed,5,"If the radius of a circle is increased by 10%, the percentage increase in its area is approximately:",10,21,15,25,B,90
Q00196,Aptitude,Mixed,4,A can do a work in 12 days and B in 15 days. How many days will they take together?,7,8,6,9,A,60
Q00197,Aptitude,Mixed,5,"If the radius of a circle is increased by 10%, the percentage increase in its area is approximately:",15,25,21,10,C,90
Q00198,Aptitude,Mixed,1,What is 25% of 240?,70,50,80,60,D,20
Q00199,Aptitude,Mixed,1,What is 25% of 120?,50,30,40,20,B,20
Q00200,Aptitude,Mixed,2,"If the ratio of boys to girls is 3:2 and total students are 30, how many are boys?",20,16,22,18,D,30
Q00201,Aptitude,Mixed,5,"If the radius of a circle is increased by 10%, the percentage increase in its area is approximately:",25,15,21,10,C,90
Q00202,Aptitude,Mixed,3,The average of 6 numbers is 20. What is their sum?,115,125,120,130,C,45
Q00203,Aptitude,Mixed,2,"If the ratio of boys to girls is 3:2 and total students are 35, how many are boys?",23,25,19,21,D,30
Q00204,Aptitude,Mixed,3,The average of 6 numbers is 20. What is their sum?,130,125,115,120,D,45
Q00205,Aptitude,Mixed,3,The average of 5 numbers is 22. What is their sum?,120,105,115,110,D,45
Q00206,Aptitude,Mixed,4,A can do a work in 10 days and B in 18 days. How many days will they take together?,6,8,5,7,A,60
Q00207,Aptitude,Mixed,5,"If the radius of a circle is increased by 10%, the percentage increase in its area is approximately:",15,10,21,25,C,90
Q00208,Aptitude,Mixed,2,"If the ratio of boys to girls is 3:2 and total students are 20, how many are boys?",14,12,16,10,B,30
Q00209,Aptitude,Mixed,2,"If the ratio of boys to girls is 3:2 and total students are 35, how many are boys?",25,21,19,23,B,30
Q00210,Aptitude,Mixed,5,"If the radius of a circle is increased by 10%, the percentage increase in its area is approximately:",15,21,10,25,B,90
Q00211,Aptitude,Mixed,2,"If the ratio of boys to girls is 3:2 and total students are 25, how many are boys?",13,17,19,15,D,30
Q00212,Aptitude,Mixed,4,A can do a work in 10 days and B in 15 days. How many days will they take together?,6,8,7,5,A,60
Q00213,Aptitude,Mixed,5,"If the radius of a circle is increased by 10%, the percentage increase in its area is approximately:",21,25,10,15,A,90
Q00214,Aptitude,Mixed,2,"If the ratio of boys to girls is 3:2 and total students are 35, how many are boys?",25,23,21,19,C,30
Q00215,Aptitude,Mixed,1,What is 25% of 200?,50,60,40,70,A,20
Q00216,Aptitude,Mixed,3,The average of 5 numbers is 18. What is their sum?,100,95,85,90,D,45
Q00217,Aptitude,Mixed,2,"If the ratio of boys to girls is 3:2 and total students are 35, how many are boys?",21,23,19,25,A,30
Q00218,Aptitude,Mixed,3,The average of 6 numbers is 18. What is their sum?,108,118,113,103,A,45
Q00219,Aptitude,Mixed,2,"If the ratio of boys to girls is 3:2 and total students are 25, how many are boys?",17,13,15,19,C,30
Q00220,Aptitude,Mixed,4,A can do a work in 10 days and B in 15 days. How many days will they take together?,8,6,7,5,B,60
Q00221,Aptitude,Mixed,4,A can do a work in 12 days and B in 15 days. How many days will they take together?,7,8,6,9,A,60
Q00222,Aptitude,Mixed,5,"If the radius of a circle is increased by 10%, the percentage increase in its area is approximately:",15,10,21,25,C,90
Q00223,Aptitude,Mixed,3,The average of 5 numbers is 22. What is their sum?,120,110,105,115,B,45
Q00224,Aptitude,Mixed,2,"If the ratio of boys to girls is 3:2 and total students are 25, how many are boys?",17,19,15,13,C,30
Q00225,Aptitude,Mixed,5,"If the radius of a circle is increased by 10%, the percentage increase in its area is approximately:",10,15,25,21,D,90
Q00226,Aptitude,Mixed,2,"If the ratio of boys to girls is 3:2 and total students are 35, how many are boys?",23,21,19,25,B,30
Q00227,Aptitude,Mixed,3,The average of 4 numbers is 22. What is their sum?,88,93,83,98,A,45
Q00228,Aptitude,Mixed,3,The average of 4 numbers is 18. What is their sum?,67,82,72,77,C,45
Q00229,Aptitude,Mixed,5,"If the radius of a circle is increased by 10%, the percentage increase in its area is approximately:",21,15,25,10,A,90
Q00230,Aptitude,Mixed,1,What is 25% of 280?,80,90,60,70,D,20
Q00231,Aptitude,Mixed,2,"If the ratio of boys to girls is 3:2 and total students are 35, how many are boys?",21,25,23,19,A,30
Q00232,Aptitude,Mixed,5,"If the radius of a circle is increased by 10%, the percentage increase in its area is approximately:",25,21,10,15,B,90
Q00233,Aptitude,Mixed,4,A can do a work in 10 days and B in 18 days. How many days will they take together?,5,6,7,8,B,60
Q00234,Aptitude,Mixed,3,The average of 5 numbers is 20. What is their sum?,110,100,95,105,B,45
Q00235,Aptitude,Mixed,3,The average of 4 numbers is 20. What is their sum?,80,85,90,75,A,45
Q00236,Aptitude,Mixed,1,What is 25% of 120?,40,20,30,50,C,20
Q00237,Aptitude,Mixed,3,The average of 5 numbers is 20. What is their sum?,110,100,105,95,B,45
Q00238,Aptitude,Mixed,4,A can do a work in 12 days and B in 18 days. How many days will they take together?,6,8,7,9,C,60
Q00239,Aptitude,Mixed,2,"If the ratio of boys to girls is 3:2 and total students are 25, how many are boys?",17,19,15,13,C,30
Q00240,Aptitude,Mixed,4,A can do a work in 12 days and B in 18 days. How many days will they take together?,8,9,7,6,C,60
Q00241,Aptitude,Mixed,4,A can do a work in 10 days and B in 18 days. How many days will they take together?,7,6,5,8,B,60
Q00242,Aptitude,Mixed,3,The average of 4 numbers is 22. What is their sum?,88,83,93,98,A,45
Q00243,Aptitude,Mixed,5,"If the radius of a circle is increased by 10%, the percentage increase in its area is approximately:",15,10,21,25,C,90
Q00244,Aptitude,Mixed,1,What is 25% of 240?,70,50,80,60,D,20
Q00245,Aptitude,Mixed,5,"If the radius of a circle is increased by 10%, the percentage increase in its area is approximately:",21,10,25,15,A,90
Q00246,Aptitude,Mixed,2,"If the ratio of boys to girls is 3:2 and total students are 35, how many are boys?",21,23,25,19,A,30
Q00247,Aptitude,Mixed,4,A can do a work in 10 days and B in 15 days. How many days will they take together?,5,7,6,8,C,60
Q00248,Aptitude,Mixed,4,A can do a work in 10 days and B in 15 days. How many days will they take together?,7,6,8,5,B,60
Q00249,Aptitude,Mixed,5,"If the radius of a circle is increased by 10%, the percentage increase in its area is approximately:",15,25,10,21,D,90
Q00250,Aptitude,Mixed,2,"If the ratio of boys to girls is 3:2 and total students are 35, how many are boys?",25,19,21,23,C,30
Q00251,Aptitude,Mixed,2,"If the ratio of boys to girls is 3:2 and total students are 20, how many are boys?",14,12,10,16,B,30
Q00252,Aptitude,Mixed,5,"If the radius of a circle is increased by 10%, the percentage increase in its area is approximately:",15,25,10,21,D,90
Q00253,Aptitude,Mixed,5,"If the radius of a circle is increased by 10%, the percentage increase in its area is approximately:",25,21,15,10,B,90
Q00254,Aptitude,Mixed,1,What is 25% of 120?,20,50,30,40,C,20
Q00255,Aptitude,Mixed,4,A can do a work in 10 days and B in 15 days. How many days will they take together?,5,7,8,6,D,60
Q00256,Aptitude,Mixed,1,What is 25% of 120?,50,30,40,20,B,20
